label_id,label_name,category,description,typical_gate,color_code
L01,合同效力,效力与合规类,名实不符/恶意串通/违反强制性规定/审批登记缺失,gate_validity,#DC2626
L02,格式条款,效力与合规类,免责排除对方权利/未履行提示说明义务,gate_validity,#EA580C
L03,主体授权,效力与合规类,签约主体不适格/授权瑕疵/表见代理风险/印章效力,gate_subject,#F59E0B
L04,关联交易,效力与合规类,关联关系未披露/定价不公允/人格混同,gate_validity,#D97706
L05,合规审查,效力与合规类,行业准入/行政处罚风险/国有资产/反商业贿赂,gate_validity,#7C3AED
L06,价款与支付,交易结构与履行类,付款节点不明/发票安排缺失/非指定账户收款/信用额度失控,gate_clause,#2563EB
L07,交付与验收,交易结构与履行类,交付标准模糊/验收程序缺失/异议期不足,gate_clause,#0891B2
L08,违约责任,交易结构与履行类,违约金过高或过低/违约情形不全/实现债权费用缺失,gate_clause,#DC2626
L09,解除与终止,交易结构与履行类,解除条件不明/解除后清算安排缺失,gate_clause,#BE123C
L10,担保与增信,交易结构与履行类,抵押或质押未登记/保证期间不明/最高额范围不清/一人公司担保,gate_clause,#B45309
L11,争议解决,争议解决与文本类,管辖不利/仲裁或诉讼选择不当/送达条款缺失,gate_clause,#4F46E5
L12,知识产权与保密,争议解决与文本类,归属不明/使用范围不清/保密义务不对等,gate_clause,#7C3AED
L13,定义与附件,争议解决与文本类,定义承载权利义务/附件未附或冲突/内部制度未转化,gate_consistency,#6B7280
L14,文本一致性,争议解决与文本类,正文与附件矛盾/通用与特别约定冲突/金额数量不一致,gate_consistency,#9CA3AF
L15,文字与格式,争议解决与文本类,错别字/标点/日期格式/法律用语不规范,gate_consistency,#D1D5DB
